Year,Low,2,3,4,5,6,7,8,9,High,High-Low
1990,-41.67,-23.42,-15.47,-13.27,-8.84,-3.71,-1.45,-2,-0.64,-6.77,34.9
1991,26.09,46.53,45.46,27.14,29.61,31.28,31.55,38.61,35.01,60.2,34.11
1992,7.65,13.76,7.26,14.8,11.15,9.7,5.37,7.12,4.45,18.79,11.14
1993,1,3.73,-1.74,0.56,4.51,10.62,10.53,23.37,20.36,35.27,34.27
1994,-3.6,2.1,-0.33,-1.8,-2.41,2.75,0.94,-0.8,-3.14,-0.22,3.38
1995,17.82,23.65,33.41,38.38,31.39,36.11,38.55,37.86,38.65,35.48,17.66
1996,14.51,14.34,19.91,28.03,16.97,18.58,23.38,28.22,19.11,18.16,3.65
1997,5.08,26.13,39.34,27.53,25.76,32.74,33.71,39.28,23.85,32.94,27.86
1998,0.46,-0.49,19.58,15.37,10.68,14.59,23.81,27.35,28.25,54.69,54.23
1999,12.86,14.18,1.61,-3.22,5.31,1.51,1.01,19.91,13.27,62.11,49.25
2000,-47.53,6.35,-8.17,22.24,2.25,5.52,-10.95,1.39,-8.22,-21.85,25.68
2001,-17.03,-9.34,-15.39,-1,0.2,-13.52,-1.39,-3.64,-11.18,-7.93,9.1
2002,-37.28,-37,-24.06,-23.38,-18.03,-19.83,-4.03,-13.76,-5.85,-11.53,25.75
2003,79.61,64.57,42.41,43.58,22.79,24.92,18.87,20.95,31.86,41.88,-37.73
2004,23.03,6.86,12.27,17.23,7.02,10.55,13.39,9.83,17.39,8.88,-14.15
2005,2.08,4.53,-1.29,2.1,5.97,7.01,5.97,17.62,11.91,19.34,17.26
2006,22.42,19.48,21.57,14.99,21.31,12.07,12.76,12.08,12.12,3.92,-18.5
2007,-18.83,-8.78,-5.63,-2.81,2.72,6.91,7.7,19.92,9.25,24.79,43.62
2008,-69.21,-53.8,-44.61,-34.96,-29.89,-33.28,-26.78,-6.36,-39.68,-38.84,30.37
